hex_id,stat,utci_present,utci_2050,utci_2090
720,typical_day_mean_utci,35.29,39.87,43.51
681,typical_day_mean_utci,35.11,39.68,43.3
643,typical_day_mean_utci,35.17,39.79,43.47
721,typical_day_mean_utci,35.0,39.52,43.09
682,typical_day_mean_utci,35.23,39.85,43.53
644,typical_day_mean_utci,34.46,38.82,42.22
722,typical_day_mean_utci,33.62,37.7,40.82
683,typical_day_mean_utci,35.0,39.49,43.04
759,typical_day_mean_utci,35.13,39.71,43.34
799,typical_day_mean_utci,34.94,39.42,42.94
760,typical_day_mean_utci,33.32,37.28,40.31
800,typical_day_mean_utci,35.12,39.64,43.2
761,typical_day_mean_utci,33.95,38.12,41.35
839,typical_day_mean_utci,34.6,38.99,42.42
801,typical_day_mean_utci,33.94,38.09,41.29
762,typical_day_mean_utci,34.22,38.45,41.73
840,typical_day_mean_utci,35.0,39.5,43.06
802,typical_day_mean_utci,34.65,39.03,42.46
878,typical_day_mean_utci,32.74,36.5,39.3
917,typical_day_mean_utci,34.27,38.53,41.85
879,typical_day_mean_utci,34.5,38.86,42.28
918,typical_day_mean_utci,34.36,38.7,42.08
880,typical_day_mean_utci,34.68,39.09,42.54
919,typical_day_mean_utci,34.13,38.4,41.72
881,typical_day_mean_utci,34.97,39.45,42.98
920,typical_day_mean_utci,34.59,38.97,42.4
882,typical_day_mean_utci,35.19,39.77,43.41
921,typical_day_mean_utci,35.08,39.61,43.18
645,typical_day_mean_utci,34.37,38.7,42.06
723,typical_day_mean_utci,35.15,39.71,43.33
684,typical_day_mean_utci,34.37,38.72,42.1
646,typical_day_mean_utci,34.03,38.28,41.56
724,typical_day_mean_utci,34.94,39.43,42.96
685,typical_day_mean_utci,33.91,38.13,41.38
725,typical_day_mean_utci,34.21,38.5,41.83
647,typical_day_mean_utci,34.13,38.39,41.67
686,typical_day_mean_utci,34.38,38.7,42.05
648,typical_day_mean_utci,34.95,39.41,42.92
763,typical_day_mean_utci,34.93,39.41,42.94
841,typical_day_mean_utci,35.19,39.76,43.37
803,typical_day_mean_utci,35.25,39.88,43.55
764,typical_day_mean_utci,34.83,39.29,42.79
842,typical_day_mean_utci,35.23,39.86,43.53
804,typical_day_mean_utci,35.25,39.88,43.55
765,typical_day_mean_utci,33.98,38.23,41.5
843,typical_day_mean_utci,35.21,39.81,43.46
805,typical_day_mean_utci,34.28,38.62,41.99
844,typical_day_mean_utci,35.09,39.67,43.3
1026,typical_day_mean_utci,33.98,38.22,41.5
1104,typical_day_mean_utci,34.34,38.66,42.02
1065,typical_day_mean_utci,34.52,38.88,42.29
1027,typical_day_mean_utci,34.48,38.86,42.29
1105,typical_day_mean_utci,34.9,39.35,42.85
1066,typical_day_mean_utci,34.66,39.04,42.47
1028,typical_day_mean_utci,34.76,39.21,42.7
1106,typical_day_mean_utci,34.8,39.22,42.69
1067,typical_day_mean_utci,34.92,39.38,42.89
1107,typical_day_mean_utci,34.84,39.29,42.8
948,typical_day_mean_utci,34.77,39.19,42.65
987,typical_day_mean_utci,34.14,38.41,41.73
949,typical_day_mean_utci,34.11,38.38,41.69
988,typical_day_mean_utci,34.68,39.12,42.61
950,typical_day_mean_utci,33.43,37.49,40.59
989,typical_day_mean_utci,34.05,38.31,41.61
951,typical_day_mean_utci,33.91,38.12,41.37
990,typical_day_mean_utci,33.94,38.17,41.44
952,typical_day_mean_utci,33.84,38.04,41.27
991,typical_day_mean_utci,33.8,37.99,41.21
1144,typical_day_mean_utci,34.73,39.14,42.6
